run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
111,3.5385961,0.9226189,0.3396268,0.20120236,0.07694838,0.01220968,-0.078167284,-0.025937706,0.002787754,0.9662951,0.8981299,0.9610868
112,3.9315946,0.8421089,0.3212554,0.2042018,0.07405847,0.00920456,-0.025533185,-0.012561218,0.000990868,0.9566522,0.8909041,0.9820099
113,3.9066039,0.9796503,0.3263102,0.24421322,0.10665307,0.01284586,-0.009681183,-0.004244605,0.000947083,0.9503232,0.8967882,0.9507844
114,4.0209657,0.8825751,0.3227517,0.2690164,0.1074372,0.0141029,-0.072001551,-0.034284941,0.005183743,0.8870686,0.818503,0.9697309
115,3.9059183,0.9536504,0.3137871,0.1992343,0.07662002,0.01147849,0.040759558,0.015348184,-0.001582985,0.9677334,0.9294091,0.9761407
116,4.0386079,0.9848524,0.3213873,0.2448949,0.1093016,0.0144073,0.07495566,0.03695193,-0.004150842,0.9063399,0.8923951,0.9683464
117,3.9056681,0.9273287,0.3163177,0.25464657,0.13314661,0.01740306,0.003860443,0.015140234,-0.002019007,0.9486835,0.8514,0.9563947
118,4.041105,0.8777112,0.3179535,0.19186296,0.07705807,0.01013826,0.03539018,0.01307892,-0.00139047,0.9601156,0.858868,0.9815586
119,3.979256,0.9628895,0.3117298,0.27878212,0.10725412,0.01150179,0.07537022,0.01963884,-0.00147339,0.9538059,0.7818268,0.9748316
120,3.9046278,0.9226522,0.3212162,0.2451241,0.1137,0.0138867,0.010907194,-0.006279255,0.003319158,0.9467652,0.8479754,0.9388227
121,4.1664558,0.9384583,0.3259545,0.28647255,0.08479873,0.01130074,1.08E-01,2.32E-02,-6.46E-05,0.9596778,0.9033433,0.9834237
122,3.8343968,0.9945601,0.3273949,0.3223843,0.12519264,0.01582098,0.028173301,-0.003766365,0.001498773,0.9297654,0.4725089,0.9610549
123,3.7003953,0.8957377,0.3264517,0.29578901,0.12360897,0.01581995,0.044100849,0.010549906,-0.000512794,0.9333264,0.7192051,0.9525428
124,3.9249878,0.8035925,0.3062809,0.24457708,0.08840235,0.01158213,-0.005998573,-0.009561146,0.001690153,0.9543139,0.9069172,0.9699689
125,3.9329091,0.8731611,0.316855,0.25692826,0.09591276,0.01085772,-0.023770918,-0.014875256,0.001635582,0.9567324,0.8399636,0.9734095
126,3.8355715,0.8660302,0.3252935,0.16719774,0.07521874,0.01210589,-0.01919063,-0.01090256,0.00255417,0.9690391,0.8864029,0.9594229
127,3.4151114,0.9045504,0.3220254,0.18945852,0.07930763,0.01215202,-0.053083567,-0.016982844,0.002964884,0.9827691,0.8760339,0.9849503
128,4.356131,0.9514786,0.3262068,0.34730041,0.12548621,0.01509507,0.101823121,0.01340853,0.000228818,0.9217546,0.7834217,0.9686945
129,3.8516554,0.9290988,0.3050545,0.20941191,0.09490801,0.0143842,-0.030723865,-0.003873544,0.001184902,0.9606997,0.8631201,0.9698483
130,4.1550192,0.9295857,0.3163561,0.23615874,0.10173861,0.01157012,0.05890609,0.0355885,-0.00379693,0.9294765,0.9388773,0.9772511
131,4.1353392,0.8560879,0.3054492,0.32814121,0.12935975,0.01432499,0.063846181,0.040004704,-0.003569694,0.9200271,0.8912248,0.9738387
